student_id,weekly_self_study_hours,attendance_percentage,class_participation,total_score,grade
2092,19.4,85.9,5.7,80.8,B
2093,15.9,78.3,6.1,80.7,B
2094,20.7,79.4,5.9,84.7,B
2095,15.7,89.7,6.8,86,B
2096,20.5,100,9.5,100,A
2097,21.1,75.6,3.6,75.8,C
2098,9.4,86.1,8.3,79.1,C
2099,2.3,96.5,5.3,71.8,C
2100,25.8,75.7,8.5,80.9,B
2101,16.8,84.8,5.3,79.3,C
2102,3,84.5,6.8,64.9,D
2103,10,69.3,5.7,67.7,D
2104,20.4,87,2.5,75.3,C
2105,13,85.4,9.5,83.2,B
2106,11.4,91.7,4.1,74.2,C
2107,24.8,70.8,6.2,76.1,C
2108,7.7,85.1,3.9,73.7,C
2109,9.4,100,3.3,75.2,C
2110,16.5,100,5.6,83.8,B
2111,17.7,100,4.8,82.1,B
2112,18.5,70.9,3.7,77.2,C
2113,21.4,90.4,5.9,86.5,B
2114,16.4,79.2,3,72.6,C
2115,18.4,88.4,6.3,77.4,C
2116,13.2,75.7,5.7,81.6,B
2117,15.4,64.4,1,72,C
2118,15.8,80.9,5,81.2,B
2119,16.5,93.7,6.9,82.3,B
2120,20.4,88.5,3.9,80.3,B
2121,18.9,89.8,7,86.1,B
2122,15.3,87.6,6.9,78.6,C
2123,9.3,89.9,4,71.1,C
2124,15.5,91.4,6,86,B
2125,14.8,81.7,7.6,79.5,C
2126,16.4,86,4.2,75,C
2127,30.4,100,5.6,98.4,A
2128,11.3,86.7,8.3,78,C
2129,18,85.5,4.3,73.5,C
2130,22.5,86.2,6.9,82.8,B
2131,15.7,82.4,3.8,74.5,C
2132,31.4,79.8,5.7,89.7,B
2133,12.4,87.5,6.9,79.6,C
2134,17.3,78.9,1.2,76.5,C
2135,9.4,83.3,4.9,72.2,C
2136,12.5,75.5,6.9,73.4,C
2137,16.7,86.3,6.5,85.1,B
2138,20.9,92,5,87.7,B
2139,17.2,82.5,3.8,76.5,C
2140,23.8,60.9,7.3,79.4,C
2141,14.3,92.1,5.4,78.9,C
2142,12.7,86.4,7.1,75.6,C
2143,33.9,73.1,6.8,96.5,A
2144,17.8,94.3,5.1,81.8,B
2145,10,68.2,8.1,72.7,C
2146,10.1,97.5,4.8,73.9,C
2147,8.4,84.3,8.4,78.9,C
2148,21.6,57.8,8.6,73.7,C
2149,12.4,87.1,8.1,85.5,B
2150,15.9,80.1,5.6,82.9,B
2151,14.6,78.3,10,82.8,B
2152,20.1,76.1,6.3,80.4,B
2153,9.1,83.5,6.5,74.1,C
2154,7.5,79.2,6,71.1,C
2155,16.6,62.7,3.7,70.7,C
2156,19.2,100,8.6,91,A
2157,17.3,82.1,4.9,81.3,B
2158,9.3,76.2,7.8,71.1,C
2159,19.7,71.5,8.3,85.1,B
2160,9.8,94.2,7.2,78.7,C
2161,11.3,69.4,4.6,66.8,D
2162,8.4,86.6,5.3,74.9,C
2163,24.1,78,0.6,78.2,C
2164,19.4,78.7,5.8,74.6,C
2165,19.2,71.8,7.6,77.9,C
2166,23.7,77.6,5.5,75.8,C
2167,34.7,85.1,4.8,90.4,A
2168,3,87.8,5.4,68.5,D
2169,9.8,75.6,8.4,75.6,C
2170,10.7,83.9,5.9,72.9,C
2171,9,95.7,9.7,81.2,B
2172,7.5,65,4.9,68.8,D
2173,12.9,84.9,6.4,84.2,B
2174,6.5,73.6,5.1,64.8,D
2175,17.3,72.4,10,84.1,B
2176,15.4,88.1,6.4,82,B
2177,18.4,78.5,10,78.8,C
2178,18.6,70.4,5.2,73.1,C
2179,19.2,100,9.1,82.2,B
2180,12.4,96,6.2,82.3,B
2181,29.8,61.8,7.7,80.6,B
2182,16.6,67.3,3.6,71.4,C
2183,2,92.1,6.7,80.4,B
2184,8,81.6,3.9,74.8,C
2185,2.8,100,6.5,73.6,C
2186,15.1,92.4,3,75.1,C
2187,14.1,88.6,5.8,83.4,B
2188,11.7,72.7,8.2,71.8,C
2189,29.1,90.9,7.1,96,A
2190,18.8,69.7,3.5,81.7,B
2191,20.1,100,2.2,85.7,B
2192,8.5,90.1,7,80.7,B
2193,8,75.1,9.2,77.2,C
2194,15.3,94.7,4.1,78.7,C
2195,16.2,100,10,91,A
2196,2,82.4,6,65.5,D
2197,13.7,91.6,2.1,79.7,C
2198,15.1,79.8,2.9,70.3,C
2199,13.5,86,7.5,82.2,B
2200,9.3,66.9,6.3,72,C
2201,11.2,85,9,78.3,C
2202,13.8,85.5,3.6,73.3,C
2203,15.6,100,6.2,84.7,B
2204,19.2,63.5,6,71.8,C
2205,22.6,81.6,5.7,83.6,B
2206,12.9,100,5.2,79.2,C
2207,11.8,82.1,5.3,72.2,C
2208,18.1,82.9,6.3,82.7,B
2209,19.3,75,6.6,81.2,B
2210,12,73.8,6.5,72.5,C
2211,20.5,63.1,8.4,73.3,C
2212,21.9,77.4,3.6,82.1,B
2213,24,73.1,2.4,75.9,C
2214,27.4,86.4,8,97.5,A
2215,8.9,75.5,4.1,68.4,D
2216,15.1,79.2,5.2,76.5,C
2217,15.1,79.6,4.8,74.4,C
2218,14.3,84.4,4.7,77.5,C
2219,10.5,78.7,3.1,80.3,B
2220,4.6,72.3,4.9,64.3,D
2221,15.6,86,7.3,85.3,B
2222,9.6,97.8,6,79.9,C
2223,15.6,86.5,7,84.8,B
2224,9.4,77.7,5,65.3,D
2225,7.3,83.5,7.8,80.7,B
2226,16.6,60.4,5,71.2,C
2227,16.1,83.3,1.8,73.4,C
2228,19.1,80.2,6.6,83.8,B
2229,30.3,73.8,7.5,88.8,B
2230,16.9,76,4.9,72.5,C
2231,18.4,80.1,8.4,75.4,C
2232,7.5,96.9,4.3,81.1,B
2233,6,98.1,7.3,78,C
2234,26.1,73.9,9.5,85.7,B
2235,8.5,78.8,6.1,70.4,C
2236,7.7,79.1,5.5,75.3,C
2237,14.7,94.7,5.8,80.6,B
2238,14.4,86.7,9.3,85,B
2239,8.7,86.1,6.8,74.7,C
2240,12.9,91.4,10,80.8,B
2241,23.6,77.8,6.6,86.3,B
2242,9.4,100,4.7,82,B
2243,5.2,85,4.8,68.3,D
2244,21.6,74.7,6.1,80.3,B
2245,18.4,82.2,1.9,76,C
2246,10.7,99.8,5.1,81.3,B
2247,3.9,79.9,5.1,73.7,C
2248,9.8,96.4,6.5,78.8,C
2249,14.6,77.5,9.9,79.7,C
2250,23.2,75.8,6.1,81.5,B
2251,7.7,92.9,2.2,69,D
2252,14.4,74.5,4.2,67.5,D
2253,19.7,94.9,6.5,87.2,B
2254,0,89.2,6.2,71.1,C
2255,22.2,74.5,9.2,84.6,B
2256,6.7,84.1,7.9,74.6,C
2257,17.3,78.4,7.9,78,C
2258,16.7,89.2,5.6,82.1,B
2259,22.6,100,8.2,93.3,A
2260,18.9,80.6,4.2,79.6,C
2261,0,91.4,7.9,73.4,C
2262,9.5,85.3,5.4,75.5,C
2263,16,85.3,3.1,80.4,B
2264,13.6,83,7.2,80.5,B
2265,18.3,74.7,8.8,82.6,B
2266,20.5,89,5.2,78.4,C
2267,19.3,81.5,9.1,87.9,B
2268,13.5,74.1,2.7,69.1,D
2269,2.1,97.2,3.6,71.1,C
2270,11.8,86.2,5.7,72.9,C
2271,17.9,82.3,5.3,85.6,B
2272,7.4,100,4.7,69.7,D
2273,19.4,63,6.3,79.2,C
2274,21.4,100,4.9,89.2,B
2275,15.9,74.4,5.3,69.3,D
2276,0,87.5,6.6,75.5,C
2277,6.1,77.9,4.7,69.7,D
2278,28.2,73.9,5.8,77.6,C
2279,11.2,100,4.7,78.8,C
2280,1.1,100,3.6,72.7,C
2281,23.6,82.3,7.5,91.6,A
2282,15.1,89,9.4,83.4,B
2283,22.7,85.7,8.1,79.7,C
2284,16.9,100,6.7,91.1,A
2285,18.2,59.6,4.7,72.3,C
2286,17.5,89.5,5.4,75.2,C
2287,19.9,76.3,8.1,83.1,B
2288,30.9,56.7,1.4,76.7,C
2289,21.8,80.7,5.3,80.7,B
2290,3.9,100,7.5,75.4,C
2291,18.1,77.1,3.7,74,C
2292,23,94.5,6.8,88.5,B
2293,23.4,99.4,6.8,92.5,A
2294,12,84.8,3.1,75.6,C
2295,23.2,86.4,6.2,79.5,C
2296,21.5,64.4,4.8,75.8,C
2297,33,76.4,6.8,91.9,A
2298,9.7,95.9,7.3,81.1,B
2299,11.4,85.7,6.8,76.4,C
2300,12.9,89.4,6.1,83.5,B
2301,11.6,86.6,6.6,81.8,B
2302,8.8,100,3.6,75.9,C
2303,0,79.8,5.9,65.6,D
2304,12,100,4.4,82.6,B
2305,17.6,86.6,8.1,87.9,B
2306,11.5,100,7.4,81.1,B
2307,28.5,70.3,7.4,82.4,B
2308,15.1,87.2,9.4,84.9,B
2309,24,80.3,5.3,80,B
2310,16.8,86.7,4.9,73.9,C
2311,20.8,99.7,5.3,85.4,B
2312,17,89.5,2.8,79.6,C
2313,24.6,99.6,3,92.5,A
2314,15.4,77,7.2,75.8,C
2315,18.5,75.1,3.2,74.4,C
2316,17.6,85.2,3.9,78.9,C
2317,13,84.5,5.8,75.2,C
2318,17.8,82.8,5.2,77.2,C
2319,30.6,73.5,7.8,89.8,B
2320,13.1,99.4,6.1,79.4,C
2321,17.9,80.6,4.4,75.5,C
2322,23.8,100,7.9,92.8,A
2323,23,85.2,7.5,87.8,B
2324,15.1,92.8,3.2,74,C
2325,0,91.7,6.5,70.4,C
2326,18.6,75.1,4.6,72.6,C
2327,0,89.4,4.5,65.6,D
2328,25.3,100,9.7,99,A
2329,16.2,88,6.2,81.1,B
2330,22,95.8,5.6,92.7,A
2331,8.7,93.3,6.2,77.3,C
2332,4.1,88.7,7.7,77.2,C
2333,16.8,87.2,4.6,81.9,B
2334,14.8,91.6,4.9,79.9,C
2335,11.6,94.2,7.3,77.4,C
2336,15.6,68.8,3,69.7,D
2337,34.4,88,8,95.4,A
2338,20.8,82.8,2.8,77.1,C
2339,22.3,80.3,5.5,82.7,B
2340,20.9,100,2.8,80.7,B
2341,25.4,76.2,3.9,78.5,C
2342,13.7,68.3,8.6,72.1,C
2343,0.6,94.5,8.1,73.4,C
2344,13.7,68,8.3,72.4,C
2345,20.7,61.9,3.1,69.4,D
2346,8.2,95.9,3.9,75.8,C
2347,13.8,86.9,6.7,78.3,C
2348,10.2,90.7,7.4,79.2,C
2349,25.5,79.7,4.4,79.8,C
2350,20.2,68.4,4.8,73.1,C
2351,19.6,70.8,3.7,80.8,B
2352,19.4,81.7,9.3,83,B
2353,14.7,69.7,5.1,65.9,D
2354,16.4,88.7,6.1,82.5,B
2355,6.7,79.5,6.2,68.9,D
2356,0,87.2,8.2,72,C
2357,16.1,86.9,4.1,78,C
2358,17.3,89.6,8.3,86.9,B
2359,23.5,91,3.4,84.2,B
2360,26,80.9,8.3,87.9,B
2361,26,87.2,2.6,87.4,B
2362,8,87.8,5.8,67.9,D
2363,12.5,55.9,9.3,66.6,D
2364,18.4,92.8,7.4,83.6,B
2365,32.7,86.8,6.8,88.9,B
2366,25.4,91.8,3.9,85.3,B
2367,22.8,69.6,4.5,75.9,C
2368,12.3,81.2,8.7,81.8,B
2369,8.8,71.9,6.9,70.6,C
2370,20.5,93.9,7.8,87.9,B
2371,7.3,68.1,6.1,66.2,D
2372,13.3,73.9,5.4,70,C
2373,14.2,91.4,7.5,85.3,B
2374,26.2,77.4,6.5,88.9,B
2375,12.5,73.9,5.7,69.1,D
2376,0,95.9,3.2,73.2,C
2377,18.5,96.4,7.9,86.1,B
2378,10.1,93.7,6.9,77.3,C
2379,15.3,95.2,4.8,82.9,B
2380,14.4,82.2,8.4,82.1,B
2381,13.1,82.5,6.5,77.1,C
2382,20.5,77.2,6.5,80,B
2383,4.3,87,7.8,77.4,C
2384,11.4,78.7,7.3,73.8,C
2385,19.8,79.8,6.6,81.3,B
2386,10.7,92.2,5.6,83,B
2387,3.7,99.2,10,76.5,C
2388,19.7,89.8,4.5,81.1,B
2389,22.9,100,7.5,95.2,A
2390,14.7,76.5,5.8,77.1,C
2391,1.3,62.9,6.9,64.6,D
2392,19.9,93.6,8.5,84.8,B
2393,3.4,75.7,5.4,67.2,D
2394,17.2,81.7,7.2,80.1,B
2395,8.8,63.8,6.5,74.2,C
2396,6.9,74.2,4.7,70,C
2397,11.9,67,8.5,73.2,C
2398,13.7,79.8,7.4,78.8,C
2399,10.5,80.3,5.1,73.1,C
2400,19.1,86.1,8.2,87.3,B
2401,11.9,99.9,4.3,77.5,C
2402,21.9,93.1,5.9,91.1,A
2403,17,65.5,5.1,68.5,D
2404,10.1,92.3,7.5,80.4,B
2405,8.9,86.3,5,71.4,C
2406,3.5,83.8,7.5,71.9,C
2407,17,84.7,7.2,84.9,B
2408,12.5,87.5,5.2,72,C
2409,0,76.7,9.7,68.7,D
2410,11.2,82.8,4.5,69.3,D
2411,8.7,99.2,3.2,75.2,C
2412,26,76.6,7.7,82,B
2413,3.1,72.6,1.7,61,D
2414,4.9,84.3,9,73.5,C
2415,22.8,71.4,6.2,82.5,B
2416,24.5,64.3,3.1,79,C
2417,9.8,80.9,4.1,71.4,C
2418,10.6,100,2.7,79.9,C
2419,19.3,84.5,6.8,87.2,B
2420,0,87.1,3.3,62.6,D
2421,2,59.4,7,65.6,D
2422,13,90.3,5.4,78.6,C
2423,25.8,86.1,5,83.5,B
2424,11.9,77,7,76,C
2425,15.7,87.2,7.2,81.6,B
2426,22.9,87,8.3,84.3,B
2427,29.7,72.3,4.7,80.7,B
2428,11,89,5.9,82.3,B
2429,14.9,99.4,4.7,83.4,B
2430,27.8,82.3,6.3,92.5,A
2431,4.3,74.6,4.4,64.2,D
2432,22.2,82.9,5.2,80.3,B
2433,7.9,95.3,5.2,71.3,C
2434,15.7,70.3,6.6,77.9,C
2435,13.3,91.9,6,81.5,B
2436,8.3,76.9,7,71.1,C
2437,8.1,87.9,5.8,72.3,C
2438,16.9,78.2,4.8,80.1,B
2439,22,78.2,6.4,81.8,B
2440,14.1,100,4.2,81.1,B
2441,15.5,68.1,7.1,72.9,C
2442,19,90.8,5.4,82.2,B
2443,8.2,100,6.4,81.5,B
2444,20.2,93.2,6.4,82.2,B
2445,20.7,69,9.2,81.7,B
2446,33.2,69.6,6.8,91,A
2447,12.4,76,6.1,73.7,C
2448,11.8,86.9,4.6,78.8,C
2449,20.4,87.7,7.6,90,A
2450,20.7,69.7,5.5,79.9,C
2451,11.3,74.5,2.9,67.2,D
2452,12.2,75.3,5.6,72.9,C
2453,18.8,82.8,6.4,82.6,B
2454,9.2,100,4.4,76.7,C
2455,12.1,73.8,5.8,71.1,C
2456,15.6,73.3,5.9,73.4,C
2457,22,71.4,5.9,86.9,B
2458,10.8,92.6,8.5,80.8,B
2459,2.1,84.5,3.4,69.3,D
2460,1.6,74.2,10,67.3,D
2461,6.2,80.6,5.9,75.9,C
2462,5.8,75.5,7.2,69,D
2463,13.9,88.6,6.3,80,B
2464,6.7,100,2.5,68.6,D
2465,10.1,91.6,3.9,78.6,C
2466,9.6,83.9,5,77.3,C
2467,11.9,77,8,72.7,C
2468,24.3,68.9,3.2,80.4,B
2469,19.6,93.8,4.3,79.6,C
2470,15.1,93.2,6.3,84.4,B
2471,11.8,79.4,6.9,74.9,C
2472,12,99.6,6.9,87.1,B
2473,17.3,85.3,4,79.2,C
2474,19.1,94.3,2.8,84.4,B
2475,8.6,88.6,7.1,80.6,B
2476,15.3,82.9,8.9,81,B
2477,0.8,73.5,5.3,63.3,D
2478,16.5,83.3,3.7,73.5,C
2479,20.3,95.1,5.1,84.8,B
2480,13,78.9,6.8,82.1,B
2481,27.7,90.3,5.5,92.2,A
2482,8.8,72,8.8,70,C
2483,16.5,94.4,7.8,90.7,A
2484,14.7,88.8,6.4,81.8,B
2485,14.3,70.6,2.1,71.1,C
2486,14.2,82.3,4.6,77.3,C
2487,15.7,96.2,4.9,83.6,B
2488,20.9,69.9,4.5,70.3,C
2489,24.6,72.1,6.4,85.4,B
2490,15,84.2,6.4,72.5,C
2491,20.7,100,2.7,87.8,B
2492,10.1,76.9,7.6,74.7,C
2493,20.4,90.9,6,87.8,B
2494,9.7,88.1,6.7,77.5,C
2495,22.6,77.9,7.5,87.1,B
2496,30.5,86.9,4.5,89.6,B
2497,14.1,79.6,8.5,80.3,B
2498,0,80.7,5.7,67.1,D
2499,11.2,65.1,9,78.3,C
2500,23.6,84.7,4.2,85.1,B
2501,18.9,95.8,8.9,85.3,B
2502,16.7,85.7,4.2,76.7,C
2503,22.1,98.1,10,95.7,A
2504,18.4,92,4.1,85.6,B
2505,23.5,84.3,8.1,85.6,B
2506,21.4,77.5,5.3,87,B
2507,25.7,79.2,7.4,87.2,B
2508,17.5,67.4,5.9,75.7,C
2509,21.3,81.8,3.8,76.3,C
2510,12.9,86.8,0.4,74.7,C
2511,10.8,100,10,84.8,B
2512,26.9,91.3,6.1,88.2,B
2513,16.5,74.6,0.1,68.4,D
2514,20.6,67.7,6.6,81.9,B
2515,15.9,82.5,7.4,81.9,B
2516,10.9,94.7,4.6,75.1,C
2517,15.1,82.4,4.6,74.9,C
2518,25.1,91.5,6,93.1,A
2519,18.9,82.8,8.4,83.4,B
2520,3,93.6,6.2,75.1,C
2521,13.5,65.8,8.9,76.9,C
2522,27.5,100,8.3,86.3,B
2523,13.5,71.7,5.5,76.4,C
2524,2.4,94.5,2.9,66.7,D
2525,28.3,81.7,5.5,86.2,B
2526,19.8,83.6,7.1,88,B
2527,14.5,82.1,6.1,82.1,B
2528,12.4,88.1,7.3,81.2,B
2529,22.6,90.5,7.7,91,A
2530,11.2,97.7,7.1,85,B
2531,23,100,5.4,94.1,A
2532,18.8,89,7,89.2,B
2533,16.7,100,10,90.9,A
2534,16,86.1,3,74.4,C
2535,13.8,97.9,7,83.2,B
2536,22.3,90.1,9.7,91.2,A
2537,8.9,78.4,3.7,69.2,D
2538,3.6,87.2,8,70.7,C
2539,19.3,91,8.3,88.5,B
2540,19.4,84.6,3,74,C
2541,18.4,90,7.4,85.3,B
2542,17.9,95.4,5.5,84.7,B
2543,12.8,84.7,5.9,77.5,C
2544,20.5,49.7,5.4,72.2,C
2545,14.7,100,8.6,89.5,B
2546,11.6,81.4,5.8,81.6,B
2547,12.8,75.1,5.1,71.2,C
2548,29.1,71.5,5.1,84.6,B
2549,2.9,81,5.3,68.3,D
2550,18.5,78.2,3.8,77.2,C
2551,3.2,76.2,5.1,62.1,D
2552,14.2,76.8,6.2,72.3,C
2553,12,91.4,6.8,80.1,B
2554,0.4,100,8.4,71.7,C
2555,17.7,94.8,6.5,84.2,B
2556,12.3,98.5,5.1,78.8,C
2557,0.3,80.5,4,63.1,D
2558,20.9,86.3,6.6,88,B
2559,25,90.1,5.8,84.9,B
2560,25.4,77.1,5.8,86.4,B
2561,17.5,79.9,6.5,78,C
2562,15.3,95.3,7,82.9,B
2563,24.3,98.1,6.5,92.8,A
2564,26.8,85.8,5.7,86.9,B
2565,22.9,70.7,4.4,75.2,C
2566,8.4,81.5,4.8,70.2,C
2567,16.4,67.7,7.7,70.6,C
2568,18.1,85.9,5.2,81.8,B
2569,2.3,88.1,3.3,58.1,F
2570,18.3,81.8,8.3,85.8,B
2571,30.9,87.9,4.1,91.6,A
2572,19.5,90,6.1,89.1,B
2573,25.3,88.1,7,95.6,A
2574,16.3,70.6,6,77.6,C
2575,14.5,82,1,69.7,D
2576,17.7,89.9,6.8,90.3,A
2577,9.3,100,8.7,79.8,C
2578,8.3,81.7,7.6,69,D
2579,23.9,91.6,1.8,88.5,B
2580,24.6,95.5,10,96.7,A
2581,8.1,82.6,3.3,64.2,D
2582,21.8,98.8,3.8,82.4,B
2583,14.4,99.4,7.6,87.3,B
2584,17.4,100,6.9,84.7,B
2585,18.2,90.5,6.2,81.5,B
2586,22,100,4.9,94.2,A
2587,15.6,77.6,8.7,86.5,B
2588,24.9,100,5.9,92.2,A
2589,17.2,94.2,2.9,79.8,C
2590,19.4,100,8.5,93.4,A
2591,9.2,81.2,6.4,72.1,C
2592,30.1,95.1,8.2,90,A
2593,18.3,100,7.1,80,B
2594,20,72,10,82.7,B
2595,3.7,83,5.4,71.8,C
2596,9.2,59.3,6,65.6,D
2597,23.7,82.9,7.4,88.9,B
2598,17,75.2,5.4,79,C
2599,1.6,82.4,7.6,74.1,C
2600,22.3,100,0.1,83.4,B
2601,11.2,100,5.9,82.2,B
2602,24.9,67.7,5.8,79.9,C
2603,14.4,91.7,5.7,79.9,C
2604,16.4,94.6,4.2,76.8,C
2605,23.3,80.9,7.8,89.5,B
2606,8.7,87.1,5,72.7,C
2607,8.1,88.3,6.4,74.2,C
2608,13.6,68.8,5.9,70.5,C
2609,20.8,72.6,7,76.1,C
2610,5.7,87.1,8.9,76,C
2611,3.3,86.2,6.4,72.7,C
2612,20.8,76.5,7.7,80.2,B
2613,10.8,75.5,6.3,75.9,C
2614,12.3,83.9,5,74.3,C
2615,2,95.6,5.7,68.2,D
2616,10.2,84.1,5.4,78.6,C
2617,14.9,100,7.1,86.4,B
2618,21.5,76.7,6.2,83.8,B
2619,9.6,87.3,4.4,76.6,C
2620,26.6,80.7,5.6,82.8,B
2621,10.2,92.1,2.9,72.8,C
2622,10.2,75.6,5.6,74.7,C
2623,25.8,100,6,98,A
2624,16.5,64.7,9.6,77.4,C
2625,11.1,100,8.7,82.9,B
2626,13.9,86.1,3.9,81.2,B
2627,24.5,91.6,6.4,87.1,B
2628,25.3,100,6.4,93.7,A
2629,9.3,95.3,5.5,76.6,C
2630,14.7,76.2,5.7,76.1,C
2631,15.6,92.2,5.3,78.4,C
2632,8.1,100,9.7,82.6,B
2633,14.6,74.4,5.2,72,C
2634,15,100,6.7,87.3,B
2635,23,89.6,0.9,81.1,B
2636,23.5,79.8,7.6,88.1,B
2637,12.7,74.3,8.4,73.8,C
2638,13.5,82.3,3.9,73.8,C
2639,19.7,61.5,5,74.7,C
2640,10.9,80,6.9,77.8,C
2641,19.1,81.8,6,76.7,C
2642,14.4,72.1,6.9,76,C
2643,8.2,94,5.4,74.1,C
2644,8.3,82.4,9.7,80.3,B
2645,25.1,77.4,4.7,87.9,B
2646,13.9,81.1,10,73.8,C
2647,26.5,89.3,8.5,90.2,A
2648,11.4,85.9,7.7,79.5,C
2649,17,76.6,3.9,75,C
2650,31.7,86.5,7.8,97.2,A
2651,7.6,84.4,7.2,75,C
2652,1.7,71.3,1.8,57.5,F
2653,24,81.5,3.2,78.1,C
2654,9.2,92,6.7,74.5,C
2655,14.9,91.9,5.7,78.9,C
2656,10.9,82.2,5,72,C
2657,16.9,93.1,8.2,87.1,B
2658,8.3,73.2,4.2,67.2,D
2659,13.7,73.6,5.1,71,C
2660,18.1,82,4.7,75.7,C
2661,7.9,100,7,78.3,C
2662,10.1,87,2.6,70.3,C
2663,12.6,81.7,5,72.6,C
2664,5,100,2.6,74.8,C
2665,12,81.6,5.4,78.9,C
2666,15.8,100,7.4,83.3,B
2667,12.2,78.9,7.5,79.9,C
2668,13.1,72.9,4.5,73.6,C
2669,14.9,83,7.1,80,B
2670,10.4,82,5.6,78.7,C
2671,19.8,75.3,8.7,81.9,B
2672,25.1,100,5.7,92.9,A
2673,11.7,88.8,0.1,71.2,C
2674,18.4,90.6,7.8,85.9,B
2675,13.3,79.5,5.1,76.1,C
2676,17.6,78.1,5.5,78,C
2677,26,97.3,6.7,93.9,A
2678,18.6,64.9,3.2,69.1,D
2679,2.6,71.3,6.1,63.1,D
2680,18.2,82,7.1,79.6,C
2681,23.6,100,6.7,90.7,A
2682,13.4,80.5,4.8,77.9,C
2683,22,90,8,87.1,B
2684,10.2,85.3,4,75.1,C
2685,4.6,100,4.7,75.9,C
2686,16,66,5.7,71.3,C
2687,2.7,93.8,6.6,77.6,C
2688,13.3,82.6,5.4,78.4,C
2689,24,96.1,8.5,92.8,A
2690,1.6,75.2,6.6,65.9,D
2691,6,85.3,6.2,72.9,C
2692,7.8,83.8,6.5,69.2,D
2693,14.6,73,7.5,73.7,C
2694,12.4,69.6,6.5,73.6,C
2695,24.8,78,2.4,74.8,C
2696,21.7,86.6,8.2,85,B
2697,18.5,75.9,6.2,77.5,C
2698,16,81,7.4,88.7,B
2699,17.8,62.4,5.2,74,C
2700,9,80.6,2.3,71.8,C
2701,21,97.3,1.4,80.1,B
2702,7.2,93.5,4.1,75.1,C
2703,20.8,84,7,79,C
2704,23.3,87.9,8.6,88.5,B
2705,16.5,75.1,6.6,78.8,C
2706,13.8,100,3.9,76.7,C
2707,17.8,100,4.4,85.8,B
2708,0,87,8.7,73.2,C
2709,17.1,100,3.4,81.1,B
2710,14.2,76.8,10,77.8,C
2711,14.6,70,9.8,75.7,C
2712,19.9,76.5,10,83.5,B
2713,14.5,82.4,6.8,77.7,C
2714,7,100,5.3,79.2,C
2715,14,81.6,6.7,76.3,C
2716,15.5,74.7,7.8,82.7,B
2717,15.8,74.2,4.7,79,C
2718,16.1,98.7,3.8,82.9,B
2719,22.3,97,5.4,87.1,B
2720,7.4,79.2,4.5,67.8,D
2721,16.2,62.5,8.5,75.8,C
2722,24,71.5,4.8,80.9,B
2723,2.9,100,6.2,75,C
2724,16.3,93.3,8,84.1,B
2725,10.9,85.8,8.6,80.4,B
2726,12.4,100,6.4,83.2,B
2727,8.7,100,6.8,78.9,C
2728,13.8,84.6,4,75.9,C
2729,27.9,84.8,8,89.3,B
2730,6.1,78,8.5,70.7,C
2731,6.8,81.6,2.3,67.2,D
2732,5.9,67.2,9.5,68.3,D
2733,27.1,67.1,4.6,77.8,C
2734,11.8,64.3,7.2,73.7,C
2735,14.8,98,6.2,82.6,B
2736,12.2,66.3,5.9,75.6,C
2737,8.4,100,5.6,80.9,B
2738,13.4,76.2,4,69.8,D
2739,32.2,100,7,100,A
2740,24.7,80.6,5.4,81.9,B
2741,9,66.2,3.4,70.6,C
2742,19.5,100,3.9,86,B
2743,9.2,100,3.4,78.6,C
2744,2.6,74.1,5,64.6,D
2745,22.1,81,7,84.9,B
2746,23.1,74.1,4.6,78.8,C
2747,22.3,83.6,8,83.6,B
2748,11.7,86.3,5.8,77.8,C
2749,13.8,80.8,5.4,79,C
2750,20.2,63.2,6,71.6,C
2751,17.7,78,8.8,86.6,B
2752,12.2,93.4,3.3,78.5,C
2753,3.7,82.5,9.3,72.3,C
2754,15.8,81.1,7.9,79.2,C
2755,22.6,73.8,6,86.2,B
2756,6.6,77.7,8.4,75.8,C
2757,19.5,100,5.4,90.4,A
2758,17.3,71.3,6.6,75.8,C
2759,20.3,93.6,4.9,86.5,B
2760,21.1,85.6,7.9,87.2,B
2761,10.1,87.9,4.6,74.2,C
2762,3.7,76.2,5.9,67.6,D
2763,11.3,80.8,7.4,79.7,C
2764,21.2,84.9,8.1,91,A
2765,11.2,78.8,4.4,71.2,C
2766,10.1,89,7.5,74.7,C
2767,2.3,90.5,4,74,C
2768,27.3,100,1.7,93.5,A
2769,20.8,88.3,4.5,84,B
2770,20.4,62.1,7.7,82.2,B
2771,21.8,99,6,90.1,A
2772,19,82.6,4.9,77.2,C
2773,13.3,100,6.1,79.4,C
2774,13.9,100,6,79.7,C
2775,12,78.9,7.2,76.1,C
2776,33.4,93.7,2.8,90.7,A
2777,18.9,77.9,5.8,77.4,C
2778,11.8,85,6.2,76.6,C
2779,18.3,93.1,3.3,83.7,B
2780,7.9,98.4,3.2,73.6,C
2781,25.5,95.7,5.3,87.8,B
2782,10.4,85.9,6,74.5,C
2783,18.5,100,6,89.9,B
2784,22.5,80.6,4.9,81.5,B
2785,17.7,65.7,4.8,73.5,C
2786,15.7,68,5.2,77.1,C
2787,15.1,100,6.6,93.8,A
2788,14.6,84.1,8.5,83.3,B
2789,11,86.9,1.6,73,C
2790,11.9,78.5,7.2,72.3,C
2791,25.4,79.6,5.8,85.7,B
2792,14.2,75.6,7.1,76.5,C
